Housing,Transportation,Environment,Health,Neighborhood,Engagement,Opportunity,geo_label_citystate,date_label,strata_race_label,strata_sex_label
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.7896712367258163,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2010,All,Both
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.8123953563028401,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2010,All,Female
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.7594898286656304,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2010,All,Male
0.8219016402071532,0.12861932716229377,0.3595962301999605,0.7896712367258163,0.45173339097290627,0.2829078921151207,0.48189659015384373,"Austin, TX",2010,American Indian/Alaska Native,Both
0.7719189689130236,0.12861932716229377,0.3595962301999605,0.7896712367258163,0.48844589324211957,0.46785122519707606,0.5129499613491558,"Austin, TX",2010,Asian,Both
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.8225635698208292,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2010,Asian/PI,Both
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.8062278172057409,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2010,Asian/PI,Female
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.7941579432065775,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2010,Asian/PI,Male
0.7128423185539251,0.12861932716229377,0.3595962301999605,0.6998617137634207,0.4277141293763256,0.2834658583359833,0.44633962216615697,"Austin, TX",2010,Black,Both
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.7607891432765216,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2010,Black,Female
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.7071468290183863,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2010,Black,Male
0.731668096650252,0.12861932716229377,0.3595962301999605,0.8007453307562259,0.4708500152385491,0.271025948469981,0.46813689725290225,"Austin, TX",2010,Hispanic,Both
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.8096259909149227,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2010,Hispanic,Female
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.7752638147735863,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2010,Hispanic,Male
0.8318857092290388,0.12861932716229377,0.3595962301999605,0.7992335756362465,0.512510466895515,0.4254693917159444,0.5396970428845678,"Austin, TX",2010,White,Both
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.8114544734022716,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2010,White,Female
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.7563779876250782,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2010,White,Male
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.7906573508155144,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2011,All,Both
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.8146357948415894,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2011,All,Female
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.7609567868660141,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2011,All,Male
0.8219016402071532,0.12861932716229377,0.3595962301999605,0.7906573508155144,0.45173339097290627,0.2829078921151207,0.48189659015384373,"Austin, TX",2011,American Indian/Alaska Native,Both
0.7719189689130236,0.12861932716229377,0.3595962301999605,0.7906573508155144,0.48844589324211957,0.46785122519707606,0.5129499613491558,"Austin, TX",2011,Asian,Both
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.8234521823717545,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2011,Asian/PI,Both
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.8163585232502691,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2011,Asian/PI,Female
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.7962179454313286,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2011,Asian/PI,Male
0.7128423185539251,0.12861932716229377,0.3595962301999605,0.7097416246579672,0.4277141293763256,0.2834658583359833,0.44633962216615697,"Austin, TX",2011,Black,Both
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.7642250517386286,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2011,Black,Female
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.7034129379499602,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2011,Black,Male
0.731668096650252,0.12861932716229377,0.3595962301999605,0.8052130470756795,0.4708500152385491,0.271025948469981,0.46813689725290225,"Austin, TX",2011,Hispanic,Both
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.8094923484124757,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2011,Hispanic,Female
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.7801939923284132,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2011,Hispanic,Male
0.8318857092290388,0.12861932716229377,0.3595962301999605,0.7984727851941995,0.512510466895515,0.4254693917159444,0.5396970428845678,"Austin, TX",2011,White,Both
0.7948593281738209,0.12861932716229377,0.3595962301999605,0.812096831369296,0.4727479817264455,0.3709659835434857,0.5055474178075225,"Austin, TX",2011,White,Female
