Housing,Transportation,Environment,Health,Neighborhood,Engagement,Opportunity,geo_label_citystate,date_label,strata_race_label,strata_sex_label
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.22412687511151141,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2010,All,Both
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.20140275553448764,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2010,All,Female
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.2543082831716972,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2010,All,Male
0.22802945639659294,0.2443077353487614,0.6404037698000395,0.22412687511151141,0.4223913016793787,0.2829078921151207,0.3434789192262473,"Austin, TX",2010,American Indian/Alaska Native,Both
0.21251665483808413,0.2443077353487614,0.6404037698000395,0.22412687511151141,0.2394900595525912,0.46785122519707606,0.35501060817094177,"Austin, TX",2010,Asian,Both
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.19123454201649845,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2010,Asian/PI,Both
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.2075702946315868,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2010,Asian/PI,Female
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.2196401686307502,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2010,Asian/PI,Male
0.20689097649677052,0.2443077353487614,0.6404037698000395,0.3139363980739068,0.38036891937048684,0.2834658583359833,0.37896954990618137,"Austin, TX",2010,Black,Both
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.2530089685608059,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2010,Black,Female
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.3066512828189413,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2010,Black,Male
0.2070955554609995,0.2443077353487614,0.6404037698000395,0.21305278108110184,0.4381734702762993,0.271025948469981,0.34595777837197345,"Austin, TX",2010,Hispanic,Both
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.20417212092240491,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2010,Hispanic,Female
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.23853429706374155,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2010,Hispanic,Male
0.23216796429982237,0.2443077353487614,0.6404037698000395,0.2145645362010811,0.21923400108370364,0.4254693917159444,0.3707473350952822,"Austin, TX",2010,White,Both
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.20234363843505598,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2010,White,Female
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.2574201242122495,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2010,White,Male
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.22314076102181313,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2011,All,Both
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.19916231699573816,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2011,All,Female
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.2528413249713135,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2011,All,Male
0.22802945639659294,0.2443077353487614,0.6404037698000395,0.22314076102181313,0.4223913016793787,0.2829078921151207,0.3434789192262473,"Austin, TX",2011,American Indian/Alaska Native,Both
0.21251665483808413,0.2443077353487614,0.6404037698000395,0.22314076102181313,0.2394900595525912,0.46785122519707606,0.35501060817094177,"Austin, TX",2011,Asian,Both
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.19034592946557297,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2011,Asian/PI,Both
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.19743958858705854,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2011,Asian/PI,Female
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.2175801664059991,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2011,Asian/PI,Male
0.20689097649677052,0.2443077353487614,0.6404037698000395,0.30405648717936046,0.38036891937048684,0.2834658583359833,0.37896954990618137,"Austin, TX",2011,Black,Both
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.24957306009869895,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2011,Black,Female
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.31038517388736736,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2011,Black,Male
0.2070955554609995,0.2443077353487614,0.6404037698000395,0.20858506476164781,0.4381734702762993,0.271025948469981,0.34595777837197345,"Austin, TX",2011,Hispanic,Both
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.20430576342485182,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2011,Hispanic,Female
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.2336041195089143,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2011,Hispanic,Male
0.23216796429982237,0.2443077353487614,0.6404037698000395,0.21532532664312787,0.21923400108370364,0.4254693917159444,0.3707473350952822,"Austin, TX",2011,White,Both
0.21850435901311832,0.2443077353487614,0.6404037698000395,0.20170128046803168,0.3199514925532222,0.3709659835434857,0.360279883552737,"Austin, TX",2011,White,Female
