geo_label_citystate,date_label,strata_race_label,strata_sex_label,Adult Binge Drinking,Adult Mental Distress,Adult Obesity,Adult Physical Inactivity,Adult Smoking,All Cancer Deaths,Breast Cancer Deaths,COVID-19 Deaths,"COVID-19 Vaccination, Adults","COVID-19 Vaccination, Seniors",Cardiovascular Disease Deaths,Child Lead Levels,Child Lead Testing,Children,Climate-related  Disasters,College Graduates,Colorectal Cancer Deaths,Community Social Vulnerability to Climate Disasters,Deaths from All Causes,Dental Care,Diabetes,Diabetes Deaths,Drives Alone to Work,Drug Overdose Deaths,Electronic Bullying,Excessive Housing Cost,Fighting in School,"Flu Vaccinations, Medicare",Foreign Born Population,Gun Deaths (Firearms),HIV-Related Deaths,HIV/AIDS Prevalence,Hazardous Air Quality,Heart Disease Deaths,High Blood Pressure,"Homeless, Children","Homeless, Total",Homicides,Household Income Inequality,Households with Higher-Incomes,Housing Lead Risk,Income Inequality,Infant Deaths,Injury Deaths,Lack of Car,Life Expectancy,Limited Supermarket Access,Longer Driving Commute Time,Longer Summers,Low Birthweight,Lung Cancer Deaths,Maternal Deaths,Minority Population,Motor Vehicle Deaths,New Chlamydia Cases,New Gonorrhea Cases,New Tuberculosis Cases,Number of Heat Waves,Opioid Overdose Deaths,Owner Occupied Housing,People with Disabilities,Per-capita Household Income,Pneumonia or Influenza Deaths,Police Killings,Poor Air Quality,Population Density,Poverty and Near Poverty in All Ages,Poverty in All Ages,Poverty in Children,Premature Death,Prenatal Care,Preschool Enrollment,Preterm Births,Primarily Speak Chinese,Primarily Speak English,Primarily Speak Spanish,Prostate Cancer Deaths,Public Assistance,Public Transportation Use,Racial Disparity in Police Killings,"Racial Segregation, White and Asian","Racial Segregation, White and Black","Racial Segregation, White and Hispanic","Racial Segregation, White and Non-White",Renters vs. Owners,Riding Bike to Work,School Bullying,Seniors,Service Workers,Single-Parent Families,Suicide,Syphilis Prevalence,"Syphilis, Newborns",Teen Alcohol,Teen Asthma,Teen Birth Control,Teen Births,Teen Breakfast,Teen Computer Time,Teen Marijuana,Teen Mental Distress,Teen Obesity,Teen Physical Activity,Teen Physical Education,Teen Physical Inactivity,Teen Smoking,Teen Soda,Teen Suicidal Ideation,Teen TV Time,Unemployment,"Uninsured, All Ages","Uninsured, Child",Vacant Housing Units,Vacant Housing and Homelessness,Violent Crime,Walking to Work,Weapons in School
"Austin, TX",2010,Black,Male,,,,,,305.9965893,,,,,350.0364904,,,,,,21.02780127,,1153.246434,,,25.54371488,,33.41172603,,,,,,19.61465966,18.50246828,,,263.8762244,,,,15.81001622,,,,,,101.3662228,,,,,,,66.93026818,,,,,,,,,,,,,,,,,,,10945.54208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2010,Hispanic,Both,,,,,,134.2368221,8.807824841,,,,173.7642223,,,,,18.17644689,14.26523017,,656.1195646,,,25.88104985,,7.564694252,,,,,,5.094668925,,449.9,,125.7703287,,,,4.851729185,,,,,,53.16989102,,,,,,7.56941213,22.17212176,20.48891678,,9.725707294,,,,,3.28517431,34.62873493,7.358185112,16570.0,6.361817076,0.356257811,,,,29.58054448,40.71502173,4657.919234,53.15785375,,,,,,28.0957801,,,,,,,,1.887775144,,,,57.64453585,,4.742059421,,,,,,77.94091788,,,,,,,,,,,,,9.00269075,,,,,,,
"Austin, TX",2010,Hispanic,Female,,,,,,103.7544578,,,,,140.8506695,,,,,,12.22439445,,534.7145243,,,29.04607198,,6.193495205,,,,,,,,,,93.68691194,,,,3.400617222,,,,,,37.63764859,,,,,,,17.24144602,,,3.736869326,,,,,,,,,,,,,,,,3312.773042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2010,Hispanic,Male,,,,,,184.4562198,,,,,236.2237151,,,,,,18.52787179,,871.7253644,,,19.98190816,,8.806397742,,,,,,7.145543415,,,,185.8230248,,,,6.206742003,,,,,,68.63379166,,,,,,,27.95463135,,,15.59411179,,,,,4.272863082,,,,,,,,,,,6004.098064,,,,,,,,,,,,,,,,,,,,,7.0040341,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2010,White,Both,,,,,,155.2409969,20.74383132,,,,187.9392192,,,,,59.29115765,11.52692511,,694.3818927,,,13.31094517,,19.10024526,,,,,,9.093862108,1.702132824,347.9,,139.377853,,,,2.126556539,,,,,,74.40119336,,,,,,6.654777548,38.94136296,,,8.509247251,,,,,7.158902615,52.15281287,8.726448065,44166.0,10.6373331,0.486660277,,,,11.1761529,5.808207008,4926.24818,84.19813542,,,,,,18.27991542,,,,,,,,0.917442119,,,,19.66626083,,16.9749379,,,,,,13.08223875,,,,,,,,,,,,,5.62352146,,,,,,,
"Austin, TX",2010,White,Female,,,,,,136.9851695,,,,,152.8290376,,,,,,11.5943144,,599.2314014,,,10.41500023,,16.27051623,,,,,,2.740325488,,,,103.8914782,,,,,,,,,,52.23603332,,,,,,,29.5733417,,,5.043600583,,,,,5.966741308,,,,9.317621025,,,,,,,3729.416655,,,,,,,,,,,,,,,,,,,,,6.608157048,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2010,White,Male,,,,,,184.7959735,,,,,234.3856937,,,,,,11.21135897,,821.344639,,,17.0216383,,21.94356713,,,,,,15.72979042,3.12256567,,,187.8922057,,,,2.38516509,,,,,,99.13700974,,,,,,,52.31478343,,,11.93549962,,,,,8.366898792,,,,12.67401831,,,,,,,6108.084778,,,,,,,,,,,,,,,,,,,,,27.72699917,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2011,All,Both,21.4,10.1,25.3,20.3,14.1,153.5496807,20.91776589,,,,190.5724099,,,22.04468091,41.25,44.78169182,13.0556767,28.32369942,699.6835869,62.4,7.7,17.468989,71.70185205,15.11811444,,,,50.0,19.08120494,8.42025155,2.55767505,449.3,3.835616438,139.7086185,23.4,,,3.528983476,0.003340583,51.89652475,6.288232493,0.4876,,65.60496562,7.104797372,80.50109886,63.14366606,,50.90238095,7.858909405,34.39627128,16.82868955,51.36841684,8.901790665,594.2,142.8,4.9,7.769230769,5.043283277,45.06290051,8.49604215,31387.0,10.25600055,0.695747522,38.35616438,2685.086346,37.98052897,19.39894657,27.23602876,5095.44413,69.53899597,42.98900322,,,,,19.21178866,10.18525051,4.673878794,4.16935343,40.61898946,57.92412466,49.97393478,44.16342767,1.21912036,1.458997071,,6.921902795,32.72458,10.98588611,13.08844854,9.4,19.4,,,,43.60932209,,,,,,,,,,,,,7.334555582,,,8.145933655,,430.099799,2.506039282,
"Austin, TX",2011,All,Female,,,,,,135.3534076,,,,,155.2753939,,,,,,11.44185867,,602.0807624,,,17.10964739,,11.30281136,,,,,,2.208961446,0.973466568,124.2,,105.2340192,,,,2.204353444,,,,,,42.29106567,,82.45927815,,,,,26.77719818,,,3.928297747,,,,,3.29382593,,,,10.01150513,,,,,,,3761.318821,,,,,,,,,,,,,,,,,,,,,5.174335824,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2011,All,Male,,,,,,181.3610221,,,,,239.0897256,,,,,,14.88582644,,829.6485983,,,18.00033042,,18.85154215,,,,,,15.12409835,4.124073964,771.1,,188.1766372,,,,4.784780043,,,,,,90.78605863,,78.22134324,,,,,45.4904748,,,14.01044392,,,,,6.809763803,,,,10.86394293,,,,,,,6421.457571,,,,,,,,,,,,,,,,,,,,,21.66746639,,,,,,,,,,,,,,,,,,,,,,,,,,
